Hospital,Pay,Orientation & Onboarding,Mgmt & Leadership,Safety & Patient Ratios,DEI/LGBTQ+ Friendliness,Patient Acuity,Housing Options,Facility Location
A,3.510217391304348,3.369565217391304,3.2769565217391308,3.5439130434782613,3.558478260869565,2.6919565217391304,3.2523913043478263,2.8519565217391305
AA,3.7137499999999997,3.3945833333333333,3.4958333333333336,3.2191666666666667,3.875,2.5145833333333334,3.48375,3.390416666666667
B,3.297777777777778,3.437037037037037,3.1596296296296296,2.9737037037037037,3.4074074074074074,2.5914814814814813,3.1270370370370375,3.1455555555555557
BB,3.1417241379310346,2.85448275862069,3.0196551724137928,2.986206896551724,3.356551724137931,2.563448275862069,3.055172413793103,3.064137931034483
C,3.4189999999999996,3.1635,3.2457499999999997,3.19175,3.4762500000000003,2.64425,2.99025,3.1215
CC,3.3644,3.1795999999999998,2.9732,3.1912000000000003,3.7556,2.58,3.1732,3.1132
D,3.3048275862068968,3.3613793103448275,3.3731034482758617,2.893103448275862,3.6206896551724137,2.576551724137931,3.5396551724137932,3.365862068965517
DD,3.3573684210526316,3.203157894736842,3.12,2.8089473684210526,3.736842105263158,2.391578947368421,3.111111111111111,3.197777777777778
E,2.995,3.105,3.063076923076923,3.243846153846154,3.5384615384615383,2.539230769230769,3.132307692307692,2.8457692307692306
F,3.3197058823529413,3.400588235294118,3.243529411764706,3.043529411764706,3.4705882352941178,2.628823529411765,3.125294117647059,3.2226470588235294
G,3.3597777777777775,3.210444444444444,3.304222222222222,2.9353333333333333,3.502444444444445,2.6813333333333333,3.1024444444444446,3.1184444444444446
H,3.603214285714286,3.524285714285714,3.099285714285714,3.2575,3.7857142857142856,2.5585714285714287,3.330357142857143,3.4735714285714288
I,3.1416129032258064,3.008387096774194,3.2503225806451614,2.9861290322580643,3.838709677419355,2.7106451612903224,3.1751612903225803,3.240645161290322
J,3.285172413793103,3.3572413793103446,3.239310344827586,3.2196551724137934,3.543103448275862,2.6113793103448275,3.4058620689655172,3.1482758620689655
K,3.116739130434783,3.228478260869565,3.146086956521739,2.986521739130435,3.3260869565217392,2.743913043478261,3.0830434782608696,3.2604347826086952
L,2.973255813953488,3.1802325581395348,3.3451162790697677,2.9923255813953484,3.255813953488372,2.7025581395348834,2.5672093023255815,2.872093023255814
M,3.3125581395348838,3.3197674418604652,3.625581395348837,3.2546511627906973,3.715813953488372,2.9986046511627906,3.3946511627906975,3.525581395348837
N,3.1257142857142854,2.817857142857143,2.715,3.15,3.2378571428571425,2.392857142857143,2.9642857142857144,2.930357142857143
O,3.6599999999999997,3.3376923076923077,3.3153846153846156,3.105769230769231,3.5384615384615383,2.629230769230769,3.203076923076923,3.3515384615384614
P,2.9005,3.148,3.1805,3.1085000000000003,3.225,2.56675,2.9850000000000003,2.64775
Q,3.1635714285714287,3.142857142857143,3.029642857142857,2.992857142857143,3.3214285714285716,2.4285714285714284,2.9642857142857144,3.0749999999999997
R,3.466333333333333,3.3209999999999997,3.4473333333333334,3.1073333333333335,3.7,2.5116666666666663,3.307,3.497333333333333
S,3.1941860465116276,3.2151162790697674,3.0446511627906974,2.955348837209302,3.4618604651162794,2.8769767441860465,3.3030232558139536,3.1193023255813954
T,3.3019999999999996,3.1465714285714284,2.940857142857143,2.9219999999999997,3.474285714285714,2.608857142857143,3.055142857142857,3.0465714285714283
U,3.3853333333333335,3.3209999999999997,3.271666666666667,3.2456666666666667,3.7,2.6813333333333333,3.3243333333333336,3.3483333333333336
V,3.286551724137931,3.5520689655172415,3.3096551724137933,3.1713793103448276,3.9310344827586206,2.9355172413793102,3.2968965517241378,3.3434482758620687
W,3.2383870967741935,3.218709677419355,2.864516129032258,3.087741935483871,3.451290322580645,2.6774193548387095,3.106451612903226,2.9996774193548386
X,3.0878723404255317,3.4887234042553192,3.3812765957446813,3.5585106382978724,3.3191489361702127,2.8674468085106386,2.803617021276596,3.068723404255319
Y,3.126923076923077,3.201923076923077,3.085384615384615,3.0442307692307695,3.4476923076923076,2.6326923076923077,3.269230769230769,2.973076923076923
Z,2.967619047619048,3.2342857142857144,3.3104761904761904,3.122380952380952,3.345,2.5845238095238097,3.1792857142857143,3.3414285714285716
